,Date,Steps,Distancia,Calories
159,2021-05-10,4989,3.1485399999999997,1711
160,2021-05-11,4282,2.77649,1590
161,2021-05-12,4018,2.6052299999999997,1587
162,2021-05-13,3891,2.52292,1582
163,2021-05-14,3295,2.1365,1504
164,2021-05-15,0,0.0,1274
165,2021-05-16,0,0.0,1273
166,2021-05-17,7595,5.2056499999999994,1877
167,2021-05-18,4651,3.01567,1626
168,2021-05-19,2657,1.72277,1508
169,2021-05-20,4871,3.0038899999999997,1658
170,2021-05-21,6166,3.9979099999999996,1824
171,2021-05-22,0,0.0,1275
172,2021-05-23,0,0.0,1275
173,2021-05-24,0,0.0,1275
174,2021-05-25,6754,4.2385,1813
175,2021-05-26,4562,2.95795,1600
176,2021-05-27,3480,2.26818,1535
177,2021-05-28,5655,3.65107,1681
178,2021-05-29,0,0.0,1275
179,2021-05-30,0,0.0,1275
180,2021-05-31,6550,4.10551,1788
181,2021-06-01,5666,3.67371,1821
182,2021-06-02,5318,3.38653,1804
183,2021-06-03,3597,2.2699599999999998,1605
184,2021-06-04,4436,2.8762499999999998,1675
185,2021-06-05,0,0.0,1275
186,2021-06-06,0,0.0,1275
187,2021-06-07,5157,3.34372,2091
188,2021-06-08,4391,2.847,1605
189,2021-06-09,0,0.0,1275
190,2021-06-10,3525,2.22525,1528
191,2021-06-11,5192,3.31,1683
192,2021-06-12,0,0.0,1275
193,2021-06-13,3674,2.21812,1581
194,2021-06-14,3492,2.19992,1585
195,2021-06-15,5693,3.59121,1703
196,2021-06-16,3085,1.91461,1534
197,2021-06-17,5039,3.26722,1625
198,2021-06-18,6066,3.8948699999999996,1715
199,2021-06-19,0,0.0,1275
200,2021-06-20,0,0.0,1275
201,2021-06-21,3577,2.31933,1611
202,2021-06-22,6210,4.00896,1704
203,2021-06-23,5332,3.4571699999999996,1676
204,2021-06-24,4763,3.08819,1640
205,2021-06-25,3576,2.2532,1537
206,2021-06-26,0,0.0,1275
207,2021-06-27,0,0.0,1275
208,2021-06-28,4408,2.78217,1702
209,2021-06-29,7267,4.69627,1919
210,2021-06-30,7006,4.542619999999999,1798
211,2021-07-01,0,0.0,1275
212,2021-07-02,0,0.0,1275
213,2021-07-03,7797,5.05581,1644
214,2021-07-04,3254,2.04893,1711
215,2021-07-05,2720,1.7636399999999999,1531
216,2021-07-06,5057,3.24518,1637
217,2021-07-07,6774,4.1800999999999995,1747
218,2021-07-08,3349,2.17149,1539
219,2021-07-09,5227,3.38904,1702
220,2021-07-10,0,0.0,1275
221,2021-07-11,0,0.0,1275
222,2021-07-12,5942,3.86129,2215
223,2021-07-13,8659,5.614459999999999,1936
224,2021-07-14,7159,4.5736799999999995,1857
225,2021-07-15,5124,3.29772,1667
226,2021-07-16,6709,4.3454,1819
227,2021-07-17,8148,5.60834,1770
228,2021-07-18,1613,0.8999699999999999,1595
229,2021-07-19,2227,1.37131,1471
230,2021-07-20,3849,2.42365,1604
231,2021-07-21,4392,2.84775,1649
232,2021-07-22,4226,2.74011,1618
233,2021-07-23,4351,2.8211399999999998,1653
234,2021-07-24,0,0.0,1279
235,2021-07-25,9808,6.25807,1864
236,2021-07-26,3681,2.3867499999999997,1559
237,2021-07-27,8367,5.883109999999999,1853
238,2021-07-28,7624,4.68522,1991
239,2021-07-29,5479,3.49546,1670
240,2021-07-30,4307,2.79268,1589
241,2021-07-31,4205,2.58479,1642
242,2021-08-01,4303,3.11773,1588
243,2021-08-02,0,0.0,1271
244,2021-08-03,5440,3.5272099999999997,1704
245,2021-08-04,5280,3.42337,1687
246,2021-08-05,4132,2.6791199999999997,1585
247,2021-08-06,3610,2.3407299999999998,1542
248,2021-08-07,3224,2.0903899999999997,1608
249,2021-08-08,9028,6.54325,2005
250,2021-08-09,3674,2.3822,1581
251,2021-08-10,7928,5.11039,1911
252,2021-08-11,4486,2.83732,1639
253,2021-08-12,8107,5.5056899999999995,1890
254,2021-08-13,3380,2.1915199999999997,1624
255,2021-08-14,2892,1.6931699999999998,1801
256,2021-08-15,0,0.0,1261
257,2021-08-16,4703,2.99041,1612
258,2021-08-17,5009,3.18552,1635
259,2021-08-18,4159,2.69657,1655
260,2021-08-19,4623,2.99756,1622
261,2021-08-20,4303,2.77173,1585
262,2021-08-21,0,0.0,1259
263,2021-08-22,0,0.0,1259
264,2021-08-23,7421,4.811599999999999,1870
265,2021-08-24,6097,3.8863999999999996,1754
266,2021-08-25,5086,3.24513,1682
267,2021-08-26,10032,7.10331,1907
268,2021-08-27,5926,3.7266399999999997,1718
269,2021-08-28,3547,2.28505,1549
270,2021-08-29,8278,5.40196,1674
271,2021-08-30,9630,5.90426,2239
272,2021-08-31,9474,6.776409999999999,1978
273,2021-09-01,6588,4.20285,1796
274,2021-09-02,10898,7.04667,2066
275,2021-09-03,5448,3.35484,1804
276,2021-09-04,9115,5.76704,1762
277,2021-09-05,18967,12.63528,2208
278,2021-09-06,10578,6.84167,1829
279,2021-09-07,6573,4.2618,1858
280,2021-09-08,6490,4.10739,1891
281,2021-09-09,5510,3.4259899999999996,1740
282,2021-09-10,4365,2.83016,1692
283,2021-09-11,3702,2.34775,1622
284,2021-09-12,8250,6.30242,1962
285,2021-09-13,7038,4.53536,1959
286,2021-09-14,7605,4.91618,2033
287,2021-09-15,5450,3.53373,1687
288,2021-09-16,4329,2.7420299999999997,1613
289,2021-09-17,4652,3.0163499999999996,1635
290,2021-09-18,9502,6.9276,1923
291,2021-09-19,2265,1.22871,1748
292,2021-09-20,7251,4.70146,2108
293,2021-09-21,10823,6.99221,2283
294,2021-09-22,3143,2.03793,1538
295,2021-09-23,7779,5.293489999999999,1917
296,2021-09-24,5392,3.4662699999999997,1682
297,2021-09-25,4636,2.9398,1978
298,2021-09-26,5939,3.84379,1667
299,2021-09-27,4624,2.99816,1660
300,2021-09-28,6605,4.20942,1662
301,2021-09-29,5158,3.34169,1636
302,2021-09-30,5195,3.3683699999999996,1644
303,2021-10-01,6785,4.36421,1894
304,2021-10-02,18532,12.018289999999999,2316
305,2021-10-03,8165,5.25519,1767
306,2021-10-04,8826,5.7571699999999995,1766
307,2021-10-05,5274,3.41965,1618
308,2021-10-06,2746,1.8914,1371
309,2021-10-07,5899,3.8249199999999997,1614
310,2021-10-08,7751,5.0528699999999995,1817
311,2021-10-09,7688,4.95902,1809
312,2021-10-10,24976,16.98048,2608
313,2021-10-11,6590,4.2198199999999995,1602
314,2021-10-12,10538,6.878279999999999,1928
315,2021-10-13,3599,2.33357,1532
316,2021-10-14,4363,2.82889,1565
317,2021-10-15,10082,6.94027,1843
318,2021-10-16,7461,4.94318,1665
319,2021-10-17,6433,4.270919999999999,1641
320,2021-10-18,3841,2.49042,1635
321,2021-10-19,4447,2.88334,1675
322,2021-10-20,10964,7.39314,1958
323,2021-10-21,4019,2.60575,1618
324,2021-10-22,5395,3.48508,1545
325,2021-10-23,14070,9.83382,2135
326,2021-10-24,17563,11.85277,2487
327,2021-10-25,21422,14.86789,2287
328,2021-10-26,14980,10.014569999999999,2311
329,2021-10-27,18290,12.615599999999999,2114
330,2021-10-28,13122,9.079609999999999,2360
331,2021-10-29,13285,8.78389,2117
332,2021-10-30,6558,4.40669,1619
333,2021-10-31,1334,0.8649699999999999,1368
334,2021-11-01,4782,2.9520999999999997,1622
335,2021-11-02,3538,2.2797,1521
336,2021-11-03,4127,2.67588,1570
337,2021-11-04,5987,3.9001699999999997,1682
338,2021-11-05,5713,3.7241,1650
339,2021-11-06,8738,5.81016,1741
340,2021-11-07,12767,8.49591,1869
341,2021-11-08,7093,4.6258099999999995,1746
342,2021-11-09,2807,1.8533799999999998,1488
343,2021-11-10,6096,3.96392,1711
344,2021-11-11,0,0.0,1270
345,2021-11-12,7465,4.853009999999999,1854
346,2021-11-13,5232,3.40103,1640
347,2021-11-14,3460,2.30845,1456
348,2021-11-15,10052,6.497999999999999,2017
349,2021-11-16,6892,4.45873,1694
350,2021-11-17,6282,4.092569999999999,1721
351,2021-11-18,6828,4.44817,1737
352,2021-11-19,4388,2.8178699999999997,1581
353,2021-11-20,6511,4.21682,1751
354,2021-11-21,7736,4.94776,1834
355,2021-11-22,6659,4.27814,1731
356,2021-11-23,4771,3.09347,1799
357,2021-11-24,0,0.0,1271
358,2021-11-25,2670,1.69488,1454
359,2021-11-26,5522,3.5225999999999997,1919
360,2021-11-27,4585,2.93871,1650
361,2021-11-28,6113,4.05425,1907
362,2021-11-29,0,0.0,1270
363,2021-11-30,5195,3.36834,1638
364,2021-12-01,5801,3.76125,1683
365,2021-12-02,3517,2.2803999999999998,1540
366,2021-12-03,8885,5.7778599999999996,1902
367,2021-12-04,7259,4.71321,1721
368,2021-12-05,0,0.0,1270
369,2021-12-06,6,0.00389,1272
