Case Number,Species,Type of Injury,Fatal:Yes or No,Unprovoked attack,Sex,Age,Activity,Country,Area,Year,Date,Time,Type,Investigation
2015.09.20.c,Tiger Shark,severe laceration to left leg,N,Y,Male,27,Spearfishing,USA,Hawaii,2015,20-Sep-15,15h52,Unprovoked,"Big Island Video, 9/20/2015"
2015.09.24,White Shark,"no injury, kayak damaged",N,Y,Male,NA,Kayak Fishing,USA,California,2015,24-Sep-15,10h45-11h15,Unprovoked,R. Collier
2015.09.29,Blacktip Shark,"laceration to heel, puncture wounds to dorsum of foot",N,Y,Male,22,Surfing,USA,Florida,2015,29-Sep-15,16h20,Unprovoked,"First Coast News, 9/30/2015"
2015.10.04,Blacktip Shark,severe lacerations to left hand,N,Y,Male,14,Surfing,USA,Florida,2015,04-Oct-15,08h30,Unprovoked,"CNN, 10/4/2015"
2015.10.09.a,Tiger Shark,"left leg severed below the knee, defense injuries to left hand",N,Y,Male,25,Surfing,USA,Hawaii,2015,09-Oct-15,10h25,Unprovoked,"Hawaii News Now, 10/9/2015"
2015.10.13,Hammerhead Shark,"no injury, shark rammed kayak repeatedly",N,Y,Male,NA,Kayak Fishing,USA,California,2015,13-Oct-15,11h00,Boat,"The Tribune, 10/28/2015"
2015.10.17.a,Tiger Shark,injuries to lower legs,N,Y,Male,44,Swimming,USA,Hawaii,2015,17-Oct-15,11h30,Unprovoked,"KHON2, 10/17/2015"
2015.10.25,White Shark,"lacerations to right calf, knee and hip",N,Y,Male,42,Surfing,South Africa,Western Cape Province,2015,25-Oct-15,15h00,Unprovoked,"News 24, 10/26/2015"
2015.11.10,Bull Shark,injury to left thigh,N,Y,Male,20,Surfing,Australia,New South Wales,2015,10-Nov-15,18h15,Unprovoked,"The Sydney Morning Herald, 11/11/2015"
2015.12.11,Bull Shark,"bitten on thigh, abdomen and hand",N,Y,Male,26,Lobster Fishing,Bahamas,Na,2015,11-Dec-15,NA,Unprovoked,"Nassau Guardian, 12/12/2015"
2015.12.13,White Shark,"no injury, shark rammed boat and bit motor",N,Y,NA,NA,Fishing,Australia,New South Wales,2015,13-Dec-15,10h30,Boat,"Courier Mail, 12/15/2015"
2015.12.21.a,Tiger Shark,right hand and part of forearm removed,N,Y,Male,32,Scuba Diving,Brazil,Pernambuco,2015,21-Dec-15,NA,Unprovoked,"Fox News, 12/22/2015"
2015.12.21.b,Bronze Whaler Shark,"no injury, shark leapt on surfboard",N,Y,Male,43,Surfing,Australia,New South Wales,2015,21-Dec-15,07h00,Unprovoked,"The Telegraph, 12/22/;2015"
2015.12.26,White Shark,"no injury, kayak damaged",N,Y,Male,NA,Kayak Fishing,South Africa,Kwazulu-Natal,2015,26-Dec-15,Morning,Boat,"Traveller24, 12/26/2015"
2016.01.05,Blacktip Shark,laceration to right calf,N,Y,Male,11,Wading,Australia,Queensland,2016,05-Jan-16,Afternoon,Unprovoked,"Nine News, 1/5/2016"
2016.01.23,Tiger Shark,no injury,N,Y,Male,48,Paddle Boarding,USA,Hawaii,2016,23-Jan-16,Morning,Unprovoked,"Grand Forks Herald, 1/27/2915"
2016.01.24.b,Bull Shark,"bruised ribs and tail bone, speargun broken and wetsuit cut",N,Y,Male,NA,Spearfishing,USA,Texas,2016,24-Jan-16,09h30 / 10h00,Unprovoked,K. Love
2016.03.02,Tiger Shark,minor injury to head,N,Y,Male,41,Swimming,Brazil,Santa Catarina State,2016,02-Mar-16,NA,Unprovoked,"Misones Online, 3/4/2016"
2016.03.03.R,Bronze Whaler Shark,puncture wounds to right calf,N,Y,Male,NA,Fishing,Australia,South Australia,2016,Reported 03-Mar-2016,Midnight,Unprovoked,"9 News, 3/1/2016"
2016.03.26,Nurse Shark,minor injury to chest provoked incident,N,N,Male,9,Na,Bahamas,Na,2016,26-Mar-16,NA,Provoked,"Wisconsin State Journal, 4/2/2016"
2016.04.09,Tiger Shark,fatal,Y,Y,Female,69,Walking,New Caledonia,Grand Terre,2016,09-Apr-16,10h45,Unprovoked,Les Nouvelles Caledonnie. 4/11/2016
2016.04.13,Bull Shark,multiple bites to right arm,N,Y,Male,26,Spearfishing,USA,Florida,2016,13-Apr-16,NA,Unprovoked,"Palm Beach Post, 4/13/2016"
2016.04.18,Grey Shark,"severe lacerations to right forearm, hand and calf from speared shark provoked incident",N,N,Male,26,Spearfishing,French Polynesia,Tuamotos,2016,18-Apr-16,NA,Provoked,"Tahiti Infos, 4/19/2016"
2016.04.22,White Shark,"no injury, surf-ski bitten",N,Y,Male,NA,Surf-Skiing,South Africa,Western Cape Province,2016,22-Apr-16,08h00,Unprovoked,"Knysna-Plett Herald, 4/22/2016"
2016.04.25,Bull Shark,elbow bitten,N,Y,Male,24,Surfing,Indonesia,Bali,2016,25-Apr-16,07h00,Unprovoked,"News.com.au, 4/26/2016"
2016.05.15,Nurse Shark,arm grabbed provoked incident,N,N,Female,23,Teasing A Shark,USA,Florida,2016,15-May-16,13h20,Provoked,"CBS News, 5/16/2016"
2016.05.18,Blacktip Shark,ankle bitten,N,Y,Male,48,Swimming,USA,Florida,2016,18-May-16,Morning ,Unprovoked,"News4Jax, 5/19/2016"
2016.05.21.b,Bull Shark,lacerations and puncture wounds to foot and ankle,N,Y,Female,22,Swimming,USA,Florida,2016,21-May-16,18h00,Unprovoked,"ABC Action News, 6/15/2016"
2016.05.31,White Shark,fatal,Y,Y,Male,29,Surfing,Australia,Western Australia,2016,31-May-16,16h00,Unprovoked,"Perth Now, 5/31/2016"
2016.06.02.b,Bronze Whaler Shark,"no injury, but sharks repeatedly hit their fins and guns",,Y,Male,NA,Spearfishing,Australia,New South Wales,2016,02-Jun-16,NA,Unprovoked,"Gold Coast Bulletin, 6/4/2016"
2016.06.23,White Shark,injuries to left leg and right hand,N,Y,Male,43,Spearfishing,South Africa,Western Cape Province,2016,23-Jun-16,NA,Unprovoked,"News 24, 6/23/2016"
2016.06.24,Caribbean Reef Shark,severe bite to right hand,N,Y,Male,59,Scuba Diving,Columbia,Isla Provedencia,2016,24-Jun-16,11h00,Unprovoked,Dr. A. Velez
2016.07.04,Nurse Shark,right thigh injured by hooked pregnant female shark provoked incident,N,N,Male,34,Fishing,Australia,Queensland,2016,04-Jul-16,22h00,Provoked,"Cairns Post, 7/9/2016"
2016.07.07.a,White Shark,"no injury. hull bitten, tooth fragment recovered",N,Y,Male,NA,Fishing For Sharks,USA,California,2016,07-Jul-16,NA,Boat,"R. Collier, GSAF"
2016.07.08,White Shark,"no injury. hull bitten, tooth fragment recovered",N,Y,Male,NA,Fishing For Squid,USA,California,2016,08-Jul-16,NA,Boat,"R. Collier, GSAF"
2016.07.14.4,Lemon Shark,face bruised when partly blind shark collided with him,N,Y,Male,NA,Scuba Diving,Bahamas,Na,2016,Reported  14-Jul-2016,NA,Unprovoked,"GrindTV, 7/14/2016"
2016.07.17,Tiger Shark,"no injury, shark bit trolling motor",N,Y,NA,NA,Fishing In Alabama Deep Fishing Rodeo,USA,Alabama,2016,17-Jul-16,NA,Boat,"Al.com, 7/19/2016"
2016.07.23.a,Bull Shark,lacerations to face and right leg,N,Y,Male,NA,Spearfishing,Bahamas,Abaco Islands,2016,23-Jul-16,NA,Unprovoked,"KWTX, 7/23/2016"
2016.07.27,Nurse Shark,laceration to left forearm provoked incident,N,N,Male,43,Lobstering,USA,Florida,2016,27-Jul-16,NA,Provoked,"Tampa Bay Times, 7/27/2016"
2016.07.28,White Shark,"no injury, shark nudged kayak repeatedly",N,Y,Male,NA,Kayaking,Australia,Western Australia,2016,28-Jul-16,NA,Boat,"ABC Australia, 7/28/2016"
2016.07.29,Blue Shark,lacerations to right hand,N,Y,Male,40,Swimming,Spain,Alicante Province,2016,29-Jul-16,11h30,Unprovoked,"Informacion.es, 7/29/2016"
2016.08.04,Blacktip Shark,big toe bitten,N,Y,Male,22,Surfing,USA,Florida,2016,04-Aug-16,NA,Unprovoked,"News 965, 8/5/2016"
2016.08.06,Tiger Shark,"no inury, shark and board collided",N,Y,Male,21,Sup Foil Boarding,USA,Hawaii,2016,06-Aug-16,NA,Unprovoked,"SUP, 8/9/2015"
2016.08.27,Bull Shark,"right arm severed, ankle severely bitten ",N,Y,Male,20,Surfing,Reunion,Na,2016,27-Aug-16,17h00,Unprovoked,"LaDepeche, 8/29/2016"
2016.08.29.b,Bull Shark,lacerations to right foot,N,Y,Male,25,Surfing,USA,Florida,2016,29-Aug-16,15h00,Unprovoked,"News Channel 8, 8/30/16"
2016.09.01,White Shark,two toes broken and lacerated,N,Y,Male,22,Spearfishing,USA,California,2016,01-Sep-16,NA,Unprovoked,"R. Collier, GSAF"
2016.09.07,Tiger Shark,severe lacerations to shoulder and forearm,N,Y,Female,51,Swimming,USA,Hawaii,2016,07-Sep-16,14h30,Unprovoked,"Hawaii News Now, 9/7/2016"
