Case Number,Species,Type of Injury,Fatal:Yes or No,Unprovoked attack,Sex,Age,Activity,Country,Area,Year,Date,Time,Type,Investigation
2013.06.25.b,Bull Shark,lacerations to left foot,N,Y,Male,NA,Swimming,USA,Florida,2013,25-Jun-13,NA,Unprovoked,"Action News, 7/25/2013"
2013.06.25.c,White Shark,"no injury, kayak scratched",N,Y,Male,NA,Kayaking / Fishing,USA,California,2013,25-Jun-13,15h30,Unprovoked,R. Collier
2013.07.28.b,Nurse Shark,bitten on left hand,N,Y,Male,64,Cleaning Fish,Bahamas,Exuma Islands,2013,28-Jul-13,16h45,Unprovoked,"Tribune 242, 7/28/2013"
2013.07.29.a,Tiger Shark,lower leg bitten,N,Y,Male,18,Surfing,USA,Hawaii,2013,  29-Jul-2013,14h10,Unprovoked,"Hawaii News Now, 7/29/2013"
2013.08.05,Bull Shark,minor injury to foot and shin,N,Y,Male,17,Fishing,USA,Florida,2013, 05-Aug-2013,15h00,Unprovoked,"NBC2 News, 8/5/2013"
2013.08.08.R,Blacktip Shark,"unknown, but survived",N,Y,Male,NA,Attempting To Free The Shark,South Africa,Na,2013,Reported 08-Aug-2013,NA,Unprovoked,"WebProNews/Science, 8/8/2013"
2013.08.11,Bull Shark,"no injury, shark became entangled in his surfboard leash",N,Y,Male,10,Surfing,USA,South Carolina,2013,11-Aug-13,17h30,Unprovoked,"Post and Courier, 8/11/2013"
2013.08.14,Tiger Shark,fatal,Y,Y,Female,20,Snorkeling,USA,Hawaii,2013, 14-Aug-2013,16h30,Unprovoked,"KHON2, 8/15/2013"
2013.08.17,White Shark,"no injury, shark bumped surfboard",N,Y,Female,NA,Surfing,USA,California,2013,17-Aug-13,12h40,Unprovoked,R. Collier
2013.08.31.b,Blacktip Shark,lower left leg bitten,N,Y,Male,NA,Spearfishing,Bahamas,Na,2013,31-Aug-13,NA,Unprovoked,
2013.09.01.c,Nurse Shark,arm bitten by captive shark provoked incident,N,N,Male,3,Na,USA,Florida,2013, 01-Sep-2013,NA,Provoked,"KeyNews, 8/4/2013"
2013.09.14,Bull Shark,lacerations to right foot,N,Y,Male,21,Swimming,USA,Florida,2013, 14-Sep-2013,15h30,Unprovoked,"E. Ritter, GSAF"
2013.10.05,Bull Shark,lacerations to  right forearm,N,Y,Male,12,Wading,USA,Florida,2013,10-Oct-13,15h30,Unprovoked,"Monroe County Advocate, 10/9/2013"
2013.10.05,White Shark,laceration to thigh,N,Y,Male,45,Surfing,USA,California,2013,06-Oct-13,08h45,Unprovoked,"R. Collier, GSAF"
2013.10.08,White Shark,"injuries to torso, head and face",N,Y,Male,55,Diving For Abalone,Australia,Western Australia,2013,08-Oct-13,10h30,Unprovoked,"Fox News, 10/9/2013"
2013.10.11,White Shark,fatal,Y,Y,Male,74,Swimming / Snorkeling,South Africa,Eastern Cape Province,2013,11-Oct-13,11h30,Unprovoked,"JBayNews.com, 10/11/2013"
2013.10.19,Nurse Shark,bitten on left calf and foot,N,Y,Male,6,Wading,USA,Florida,2013,19-Oct-13,Late afternoon,Unprovoked,K & D Hamby 
2013.10.20,Tiger Shark,"no injury, shark bit surfboard",N,Y,Male,25,Surfing,USA,Hawaii,2013,20-Oct-13,11h00,Unprovoked,"B. Buley, The Garden Island, 10/22/2013"
2013.10.23,White Shark,"3"" laceration to left hip",N,Y,Male,45,Diving ,USA,Hawaii,2013,23-Oct-13,15h55,Unprovoked,"Maui News, 10/23/2013"
2013.10.26.a,White Shark,"no injury, swim fin shredded",N,Y,Male,NA,Diving For Crayfish,Australia,Western Australia,2013,26-Oct-13,10h55,Unprovoked,"Sky News, 10/26/2013"
2013.10.26.b,Bull Shark,right leg severed,N,Y,Male,24,Body Boarding,Reunion,DÉtang-Salé,2013,26-Oct-13,16h30,Unprovoked,"Global Post, 10/26/2013"
2013.10.28,Blacktip Shark,lacerations to right arm,N,Y,Female,60,Snorkeling,Australia,Western Australia,2013,28-Oct-13,Afternoon,Unprovoked,"AAP, 10/28/2013"
2013.10.31,Tiger Shark,severe bite to right calf and anklel,N,Y,Male,46,Kiteboarding,USA,Hawaii,2013,31-Oct-13,15h19,Unprovoked,"Maui TV, 10/31/2013"
2013.11.12,White Shark,"no injury, board bumped by shark",N,Y,Male,NA,Surfing,Australia,Western Australia,2013,12-Nov-13,15h00,Unprovoked,"West Australian, 11/13/2013"
2013.11.22,White Shark,"no injury, board bitten",N,Y,Male,25,Surfing,USA,Oregon,2013,22-Nov-13,10h30,Unprovoked,R. Collier
2013.11.23.a,White Shark,fatal,Y,Y,Male,35,Surfing,Australia,Western Australia,2013,23-Nov-13,09h00,Unprovoked,"J. Baily; Perth Now, 11/23/2013"
2013.11.30,Tiger Shark,fatal,Y,Y,Male,19,Body Boarding,Australia,New South Wales,2013,30-Nov-13,14h00,Unprovoked,"The Sydney Morning Herald, 11/30/2013"
2013.12.11,Tiger Shark,lacerations to right hand and knee,N,Y,Male,29,Boogie Boarding,USA,Hawaii,2013,11-Dec-13,08h00,Unprovoked,"Big Island Now, 12/11/2013"
2013.12.16,White Shark,injuries to left thigh,N,Y,Male,19,Surfing,South Africa,Western Cape Province,2013,16-Dec-13,08h45,Unprovoked,"Cape Argus, 12/16/2013"
