,Case Number,Type,Country,Area,Activity,Sex ,Injury,Fatal (Y/N/U),Time,Species 
907,2011.06.21,Unprovoked,USA,Florida,Jet skiing,M,Lacerations to foot and ankle,N,Afternoon,
908,2011.06.19.b,Unprovoked,TURKS & CAICOS,Caicos Bank,Spearfishing,M,Right calf bitten,N,,5' shark
909,2011.06.19.a,Unprovoked,COSTA RICA,Guanacaste,Surfing,M,FATAL,Y,12h15,
910,2011.06.15,Unprovoked,REUNION,Saint-Gilles-les-Bains,Boogie Boarding,M,FATAL,Y,17h30,
911,2011.06.14.R,Boating,UNITED KINGDOM,Cornwall,Fishing,,"No injury, shark slammed into boat",N,,"Oceanic whitetip shark, 7'"
912,2011.06.12,Unprovoked,USA,Florida,Scuba diving,M,Lacerations to right calf,N,14h30,"Blacktip shark, 4'"
913,2011.06.06.R,Unprovoked,COLUMBIA,San Andrés archipelago,Spearfishing,M,Injuries to right hand and forearm,N,,
914,2011.06.06.b,Unprovoked,USA,California,Spearfishing,M,"No injury, minor damage to wetsuit",N,,"Sevengill shark, 6' to 8'"
915,2011.06.06.a,Unprovoked,USA,Florida,Wading,M,Puncture wound to calf,N,12h00,3' to 4' shark
916,2011.06.01,Unprovoked,MALAYSIA,Kedah,Snorkeling,F,Laceration to dorsum of right foot,N,,Blacktip reef shark 
917,2011.05.30,Unprovoked,USA,Texas,Standing or boogie boardin,F,Lacerations & punctures to right thigh ,N,15h00,
918,2011.05.29,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,"No injury, board bumped by shark",N,,White shark
919,2011.05.25,Unprovoked,USA,Hawaii,Surfing,F,"No injury, board bitten",N,13h15,"Tiger shark, 10'"
920,2011.05.22,Unprovoked,USA,Hawaii,Paddle boarding,F,"No injury, board bitten",N,12h00,Tiger shark
921,2011.05.21.b,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,M,"Thigh bitten, FATAL",Y,Midday,Zambesi shark
922,2011.05.13.b,Unprovoked,USA,Florida,Body surfing,M,Lacerations to left foot & ankle,N,15h30,
923,2011.05.21.a,Unprovoked,NEW CALEDONIA,North Province,Kite Boarding,M,"Thigh bitten, FATAL",Y,11h00," Tiger shark, 2.8m"
924,2011.05.13.a,Unprovoked,USA,Florida,Surfing,M,Minor injury; puncture wounds to calf,N,06h30,
925,2011.05.10,Provoked,USA,Florida,Fishing ,M,Laceration to arm by captive shark PROVOKED INCIDENT,N,,"Sandbar shark, 8'"
926,2011.05.07.R,Invalid,UNITED ARAB EMIRATES,Umm al Qaywayan Province,Fishing ,M,"Erroneously reported on several internet sites as a ""shark attack"", it was the shark 8', 300-kg mako shark that was attacked, not the fisherman",U,,Invalid
927,2011.05.04,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,M,Calf bitten,N,,
928,2011.04.26,Unprovoked,USA,Florida,Spearfishing,M,Calf bitten,N,,"Bull shark, 12'"
929,2011.04.23,Unprovoked,AUSTRALIA,Western Australia,Washing sand off a speared fish,M,Heel bitten,N,15h00,"reef shark, 1.5m"
930,2011.04.22,Unprovoked,USA,Florida,Surfing ,M,Minor puncture wounds,N,15h30,1' to 2' shark
931,2011.04.16,Unprovoked,NEW ZEALAND,South Island,Surfing,M,Puncture to left hand,N,Afternoon,possibly a bronze whaler shark
932,2011.04.12,Unprovoked,INDONESIA,Bali,Surfing,M,Lacerations to forearm,N,Morning," Bull shark, 2.5 m"
933,2011.04.08,Unprovoked,FIJI,Vitu Levu,Diving,M,Minor injuries to left leg and hand,N,Afternoon,
934,2011.03.29.R,Provoked,USA,Texas,"Standing, holding shark pup",M,Minor laceration to shoulder from captive shark PROVOKED INCIDENT,N,,Blacktip shark pup
935,2011.03.24,Unprovoked,MEXICO,Quintana Roo,Swimming,F,Lower leg & foot bitten,N,,Bull shark
936,2011.03.23,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Severe injury to left forearm,N,17h45,"Bull shark, 2.5m"
937,2011.03.21.b,Unprovoked,MEXICO,Quintana Roo,Swimming,M,Right foot bitten,N,,
938,2011.03.21.a,Unprovoked,FIJI,,Diving / fishing,M,"Left forearm severely bitten, surgically amputated",N,16h00,
939,2011.03.16,Unprovoked,AUSTRALIA,New South Wales,Wakeboarding,F,"Severe injuries to head, neck, shoulder & upper left arm",N,13h00,3 m to 4 m shark
940,2011.03.10.R,Invalid,EGYPT,South Sinai Peninsula,,F,"Apparent drowning, and subsequent scavenging by 16' tiger shark",U,,
941,2011.03.10,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury, surboard broken",N,,
942,2011.02.28.R,Provoked,AUSTRALIA,Queensland,Fishing,M,Lacerations to right hand by hooked shark PROVOKED INCIDENT,N,10h45,"Bull shark, 2m"
943,2011.02.23,Unprovoked,NEW CALEDONIA, Loyalty Islands,Spearfishing,M,Lacerations to left forearm,N,Early afternoon,1.5 m shark
944,2011.02.19,Unprovoked,REUNION,Saint Gilles ,Surfing,M,Left leg severed at the knee,N,18h30,
945,2011.02.17,Unprovoked,AUSTRALIA,South Australia,Diving for abalone,M,FATAL,Y,18h20,White shark x 2
946,2011.02.13,Provoked,AUSTRALIA,Queensland,Fishing,M,Lacerations to calf by hooked shark PROVOKED INCIDENT,N,10h40,1 m shark
947,2011.02.12,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,M,Arm bitten,N,Late afternoon,
948,2011.02.04.R,Provoked,MEXICO,Colima,Shark fishing on the Ricardo Astorga,M,Left foot bitten PROVOKED INCIDENT,N,,
949,2011.02.02,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surf fishing,M,Right leg bitten,N,,
950,2011.01.31,Unprovoked,MEXICO,Quintana Roo,Swimming,F,"Leg, forearm & hand severely bitten",N,12h00,6' shark
951,2011.01.28,Provoked,MEXICO,Colima,Shark fishing on the Don Agustín-VI. ,M,Left eg bitten PROVOKED INCIDENT,N,,
952,2011.01.26,Unprovoked,BAHAMAS,West End,Scuba diving,M,Arm bitten ,N,15h00,Caribbean reef shark
953,2011.01.20,Invalid,AUSTRALIA,New South Wales,Swimming,F,Lacerations to both legs,U,17h00,Shark involvement not confirmed
954,2011.01.15,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,FATAL,Y,12h30,
955,2011.01.12.R,Unprovoked,MEXICO,Quintana Roo,Attempting to fix motor,M,Bitten on leg and groin,N,,
956,2011.01.03,Boat,AUSTRALIA,Western Australia,Fishing,,"No injury, shark nudged boat and bit propeller",N,12h00,White shark
957,2010.12.26,Unprovoked,USA,Hawaii,Body boarding,M,"Lacerations to his lower left leg, calf, foot & ankle",N,15h35,6' shark
958,2010.12.17,Unprovoked,FIJI,Vitu Levu,Surfing,M,Lacerations to  foot,N,AM,
959,2010.12.11,Unprovoked,USA,Hawaii,Surfing,M,Lacerations to right foot,N,13h51,
960,2010.12.05,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,F,FATAL,Y,12h00,"Oceanic whitetip shark, 2.5m "
961,2010.12.03.R,Unprovoked,INDONESIA,Bali,Surfing,M,Lacerations to right hand,N,,
962,2010.12.01.b,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,M,Both arms severely bitten,N,11h00,Mako shark 
963,2010.12.01.a,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,M,Lacerations to right leg,N,10h55,Mako shark
964,2010.11.30.b,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,F,"Foot severed, Right forearm severed, lacerations to left hand (defense wounds)",N,14h55,"Oceanic whitetip shark, 2.5m, female"
965,2010.11.30.a,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,F,Foot and arm bitten,N,14h40,"Oceanic whitetip shark, 2.5m, female"
966,2010.11.27.R,Unprovoked,SAMOA,,Fishing,M,Serious wounds to chest,N,Morning,
967,2010.11.27,Invalid,AUSTRALIA,Western Australia,Swimming,M,Death may have been due to drowning,U,,Shark involvement not confirmed
968,2010.11.19,Provoked,USA,Palmyra Atoll,Snorkeling,M,Head bitten by netted shark PROVOKED INCIDENT,N,13h30,
969,2010.11.15,Unprovoked,DOMINICAN REPUBLIC,,Diving,M,FATAL,Y,Morning,
970,2010.11.14,Unprovoked,INDONESIA,Bali,Surfing,M,Hand bitten ,N,,
971,2010.11.12.R,Boat,AUSTRALIA,Western Australia,Fishing,M,No injury to occupant. Shark rammed bottom of the boat,N,Night,White shark
972,2010.10.30,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,F,Torso and left buttock bitten,N,12h30,White shark
973,2010.10.28.R,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,M,"No injury, shark head-butted diver's thigh",N,,
974,2010.10.28,Unprovoked,USA,Oregon,Surfing,M,No injury to surfer,N,15h20,
975,2010.10.25,Provoked,AZORES,,Fishing,M,PROVOKED INCIDENT?  ,N,,
976,2010.10.23.b,Unprovoked,USA,Maine,Scuba diving,M,"No injury to diver, shark bit his video camera",N,Afternoon,"Porbeagle shark, 8' "
977,2010.10.23.a,Unprovoked,AUSTRALIA,Western Australia,Kite Surfing,M,Lacerations to lower right leg,N,,
978,2010.10.22,Unprovoked,USA,California,Body boarding,M,FATAL,Y,08h50,"White shark, 14' to 18' "
979,2010.10.20,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,F,Multiple lacerations to left leg and foot,N,A.M.,
980,2010.10.09,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Foot bitten,N,13h30,"Bull shark, 1.4m "
981,2010.10.02.b,Unprovoked,BAHAMAS,Exuma Islands,Snorkeling,M,Calf bitten,N,,Lemon shark
982,2010.10.02.a,Unprovoked,BAHAMAS,Abaco Islands,Surfing,F,Bitten between left ankle & knee,N,15h00,Possibly a 6' lemon shark
983,2010.10.01,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,3 lacerations to foot,N,14h30,
984,2010.09.27,Unprovoked,USA,Oregon,Surfing,M,"No injury, surfboard rammed",N,16h00,White shark
985,2010.09.24,Unprovoked,USA,Virginia,Surfing,M,Bite to left ankle and knee,N,16h30,
986,2010.09.21,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,M,FATAL,Y,,White shark
987,2010.09.13,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Lacerations and puncture wounds to leg and foot,N,17h00,2m shark
988,2010.09.07,Unprovoked,USA,Florida,Swimming,M,Lacerations to left wrist,N,,3' shark
989,2010.09.06.R,Unprovoked,TONGA,Ha'api ,Swimming /  Whale Watching,M,Puncture wounds to right foot,N,12h00,
990,2010.09.04,Unprovoked,USA,Florida,Surfing,M,"No injury, shark charged surfboard",N,,
991,2010.09.03.b,Unprovoked,USA,Florida,Surfing,M,Lacerations to right  hand ,N,12h00,
992,2010.09.03.a,Unprovoked,USA,Florida,Surfing,M,Left thigh bitten,N,09h00,
993,2010.09.02,Unprovoked,SOLOMON ISLANDS,Western Province,,M,Lacerations to face and neck,N,,
994,2010.08.29,Invalid,BAHAMAS,Exuma Islands,Swimming after boat became disabled,M,"His partial remains were recovered from a 12' tiger shark on September 5, 2010. Cause of death was thought to be drowning",U,,Shark involvement prior to death was not confirmed
995,2010.08.18,Unprovoked,USA,Florida,Boogie Boarding,M,Minor injuries to foot,N,09h00,
996,2010.08.17,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,FATAL,Y,08h05,White shark
997,2010.08.14,Boating,USA,California,Kayak Fishing,M,"No injury, kayak bitten",N,,White shark
998,2010.08.10.b,Provoked,AUSTRALIA,Queensland,Fishing,F,Leg bitten by hooked shark PROVOKED INCIDENT,N,19h00,
999,2010.08.10,Unprovoked,SOUTH KOREA,Jeju Province,Swimming,F,Lacerations to left lower leg,N,Late afternoon,
1000,2010.08.08,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Left foot bitten,N,08h00,
1001,2010.08.07.b,Unprovoked,USA,North Carolina,Surfing,M,Left foot bitten,N,15h00,
1002,2010.08.07.a,Unprovoked,MALTA,,Windsurfing,M,"No injury, sail bitten",N,,3 m shark
1003,2010.08.05,Invalid,USA,Florida,Swimming,F,Minor abrasions to legs when she was lifted on the back of a large marine animal,U,19h15,Shark involvement not confirmed
1004,2010.08.02.b,Boating,USA,California,Kayaking,M,"No injury, kayak bitten",N,12h40,"White shark, 15'"
1005,2010.08.02.a,Unprovoked,USA,Florida,Standing,F,Lacerations to forearm,N,11h00,3' to 4' shark
1006,2010.07.25,Unprovoked,USA,South Carolina,Standing,M,Lacerations to right lower leg,N,,4' shark
1007,2010.07.23,Unprovoked,USA,Florida,Surfing,M,Left foot bitten,N,16h30,
1008,2010.07.19,Unprovoked,USA,South Carolina,Swimming,M,Minor lacerations to left calf,N,10h35,Possibly a small blacktip shark
1009,2010.07.17.b,Unprovoked,USA,North Carolina,Swimming,F,Lacerations to right forearm,N,13h30,"Sandtiger shark, 4' to 5'"
1010,2010.07.17.a,Unprovoked,USA,Florida,Surfing,M,Minor lacerations to right foot,N,,A small spinner shark
1011,2010.07.16.b,Provoked,SPAIN,Grand Canary Island,Swimming,M,Lacerations to left foot when he stepped on the shark PROVOKED INCIDENT,N,19h15,Angel shark
1012,2010.07.16.a,Unprovoked,USA,Texas,Fishing,M,Leg bitten,N,,
1013,2010.07.11,Provoked,USA,Florida,Fishing,M,Small laceration to forearm from netted shark  PROVOKED INCIDENT,N,,"Nurse shark, juvenile "
1014,2010.07.04,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Snorkeling,F,Left leg bitten,N,,
1015,2010.07.03,Provoked,USA,New York,Fishing,M,Laceration to right bicep by hooked shark PROVOKED INCIDENT,N,12h30,"Blue shark, 7'"
1016,2010.07.02.b,Unprovoked,USA,California,Surfing,M,Laceration to left foot,N,Evening,4' shark
1017,2010.07.02.a,Unprovoked,USA,California,Stand-Up Paddleboarding,M,"No injury, board bumped by shark",N,15h15,8' shark
1018,2010.06.27,Unprovoked,USA,Texas,Surfing,M,Lacerations to right foot,N,,"Bull shark, 5'"
1019,2010.06.25.b,Unprovoked,USA,South Carolina,Boogie Boarding,F,Laceration to leg,N,,
1020,2010.06.25.a,Unprovoked,USA,North Carolina,Swimming,F,Laceration to left foot,N,13h00,
1021,2010.06.15,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,M,Laceration to left foot,N,17h00,1 m shark
1022,2010.06.10,Unprovoked,USA,Florida,Boogie Boarding,F,Lacerations to left calf and foot,N,12h30,4' shark
1023,2010.06.06,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,Severe laceration to right knee,N,12h00,
1024,2010.06.00,Unprovoked,USA,Florida,Surfing,M,Lacerations to left foot,N,,
1025,2010.05.30,Provoked,USA,Florida,Fishing,M,Laceration to left calf by hooked shark PROVOKED INCIDENT,N,08h45,"Lemon shark, 4'"
1026,2010.05.18.c,Unprovoked,VIETNAM,Binh Dinh Province,Rescuing,F,Minor laceration to leg,N,18h00,20 to 30kg shark
1027,2010.05.18.b,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,F,Severe lacerations to left foot,N,18h00,20 to 30kg shark
1028,2010.05.18.a,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Superficial lacerations to lower left leg,N,16h30,
1029,2010.05.03,Unprovoked,MADAGASCAR,Antsiranana Province,Scuba diving,M,Lacerations to arm & chest,N,09h30,
1030,2010.05.01,Unprovoked,USA,Florida,Wading,F,Minor puncture wounds to right ankle,N,10h30,4' shark
1031,2010.04.28,Provoked,USA,Florida,Measuring sharks,M,Arm bitten PROVOKED INCIDENT ,N,Afternoon,"Lemon shark, 6'"
1032,2010.04.19,Unprovoked,USA,Hawaii,Surfing,M,"No injury, surfboard bitten",N,16h00,14' shark
1033,2010.04.13,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,Both feet bitten,N,10h00,2 m shark
1034,2010.04.04,Unprovoked,EGYPT,Sinai Peninsula,Swimming / treading water,M,Lacerations to left ankle and foot,N,14h00,"Oceanic whitetip shark, 6'"
1035,2010.03.27,Unprovoked,REUNION,Saint-Benoit,Surfing,M,"No injury, board bitten",N,11h00,1.5 m shark
1036,2010.02.19,Unprovoked,NEW ZEALAND,South Island,Swimming,M,Bruised but otherwise unhurt,N,Night,Possibly a blue shark
1037,2010.02.16,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,Lacerations to right leg,N,11h00,3 m shark
1038,2010.02.15,Unprovoked,FIJI,Off Vanua Levu,Scuba diving,M,FATAL,Y,09h30,
1039,2010.02.13,Unprovoked,AUSTRALIA,Queensland,Snorkeling,F,Lacerations to legs & buttocks,N,13h30,2 m shark
1040,2010.02.11,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"Minor injury, lacerations to left lower leg",N,08h00,"Wobbegong shark, 1.6m"
1041,2010.02.06.R,Provoked,NEW ZEALAND,South Island,Spearfishing,M,"No injury, shark bit his speargun after he used it to prod the shark PROVOKED INCIDENT",N,,2 m to 3 m shark
1042,2010.02.06.b,Unprovoked,AUSTRALIA,New South Wales,Body boarding,M,"No injury, shark & board collided",N,15h30,"White shark, 2.5m"
1043,2010.02.06.a,Provoked,USA,Florida,Surf fishing / wading,M,Leg bitten while trying to free a hooked shark PROVOKED INCIDENT,N,15h00,"Spinner shark, 6'"
1044,2010.02.04,Invalid,GUAM,Merizo,Spearfishing (free diving),M,Shark bites were post-mortem,U,11h00,Invalid
1045,2010.02.03,Unprovoked,USA,Florida,Kite Boarding,M,FATAL,Y,15h44,
1046,2010.02.01,Provoked,NEW ZEALAND,South Island,Boogie Boarding,F,Stepped on shark PROVOKED INCIDENT,N,18h30,1.5 m shark
1047,2010.01.30,Unprovoked,BRAZIL,Rio Grande Do Sul,Surfing,M,Foot bitten,N,,Thought to involve a juvenile hammerhead shark
1048,2010.01.27,Unprovoked,AUSTRALIA,Queensland,Surfing,M,"No injury, surfboard bitten",N,16h30,
1049,2010.01.22.b,Unprovoked,UNITED ARAB EMIRATES,Dubai,Surfing,M,Laceration to bottom of foot,N,Evening,
1050,2010.01.22.a,Unprovoked,AUSTRALIA,Victoria,Surfing,M,Lacerations to right hand ,N,07h30,
1051,2010.01.12,Unprovoked,SOUTH AFRICA,Western Province,Standing,M,FATAL,Y,15h15,White shark
1052,2010.01.09.d,Unprovoked,AUSTRALIA,Torres Strait,Snorkeling,F,2 sets of minor lacerations below her right knee,N,,"Whitetip reef shark, 1m"
1053,2010.01.09.c,Unprovoked,VIETNAM,Binh Dinh Province,,F,Minor injuries,N,,
1054,2010.01.09.b,Unprovoked,VIETNAM,Binh Dinh Province,,M,Right wrist bitten,N,17h00,
1055,2010.01.09.a,Unprovoked,VIETNAM,Binh Dinh Province,Bathing,M,Left arm bitten twice,N,06h45,
1056,2010.01.06,Unprovoked,USA,Florida,Spearfishing,M,Lacerations to  arm,N,10h15,
1057,2010.01.05,Unprovoked,SOUTH AFRICA,Eastern Province,Surfing,M,"No injury, reportedly knocked of his board by a shark",N,,
1058,2009.12.29,Unprovoked,SOUTH AFRICA,Eastern Cape  Province,Wading,M,Lacerations to  left foot,N,08h30,
1059,2009.12.26,Provoked,AUSTRALIA,New South Wales,Swimming,M,Lacerations to lower left leg after stepping on the shark                 PROVOKED INCIDENT,N,11h00,
1060,2009.12.22,Unprovoked,MOZAMBIQUE,Maputo Province,Swimming,M,Multiple lacerations to right torso & arm. Defense wounds on  hands,N,16h30,"Zambesi shark, 2m "
1061,2009.12.20.b,Boating,AUSTRALIA,Queensland,Kayaking,M,"No injury to occupants, kayak bumped by shark",N,11h00,
1062,2009.12.20.a,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,Lacerations to hand & forearm,N,07h30,"Bull shark, 3m"
1063,2009.12.18,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Paddling on kneeboard,M,FATAL,Y,14h30,
1064,2009.12.18,Invalid,SOUTH AFRICA,KwaZulu-Natal,Surfing,M,"Minor lacerations to left leg. nitially reported as a shark bite, but involved a barracuda",U,,No shark involvement
1065,2009.12.16,Unprovoked,NEW ZEALAND,South Island,Swimming to shore from capsized kayak,M,FATAL,Y,,"White shark, 2.8 to 3 m "
1066,2009.12.13,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Laceration to big toe,N,07h00,
1067,2009.12.12,Boating,AUSTRALIA,New South Wales,Rowing,,No injury to occupants; shark bit steering oar,N,07h30,White shark
1068,2009.12.06,Provoked,USA,New Jersey,Diving,M,Lacerations & puncture wounds to right calf & ankle when diver accidentally backed into the shark  PROVOKED INCIDENT,N,13h00,"Sandtiger shark, 8'"
1069,2009.11.25,Invalid,USA,California,Surfing,M,Puncture wounds to right foot,U,15h30,Shark involvement not confirmed
1070,2009.11.24,Unprovoked,USA,Florida,Wading,M,Left foot bitten,N,Morning,6' shark
1071,2009.11.16.b,Unprovoked,USA,California,Fishing,M,Puncture wounds and minor lacerations to dorsal surface of his left hand,N,16h45,Thresher shark
1072,2009.11.16.a,Unprovoked,USA,Florida,Surfing,M,Foot bitten,N,09h30,
1073,2009.11.13,Unprovoked,USA,Florida,Surfing,F,Foot bitten,N,16h30,
1074,2009.11.11,Unprovoked,USA,Florida,Surfing,M,Foot bitten,N,Afternoon,4' shark
1075,2009.11.08,Unprovoked,AUSTRALIA,South Australia,Kayaking,M,Ankle bitten,N,10h30,2 m shark
1076,2009.11.05,Unprovoked,USA,California,Surfing,M,"No injury, board broken in half",N,Dusk,
1077,2009.10.30,Boating,AUSTRALIA,Victoria,Kayaking,M,"No injury, shark bit kayak",N,Morning,"White shark, 4m"
1078,2009.10.29.R,Unprovoked,MOZAMBIQUE,Inhambane Province,Spearfishing,M,Left ankle & foot bitten,N,,Zambesi shark
1079,2009.10.28,Unprovoked,AUSTRALIA,New South Wales,Paddle-boarding,F,"No injury, shark bit rear of paddleboard",N,07h00,
1080,2009.10.24,Unprovoked,USA,California,Surfing,M,"3 puncture wounds to big toe of left foot, and laceration on arch of foot",N,17h30,
1081,2009.10.19,Unprovoked,USA,Hawaii,Surfing,M,Bitten on upper right thigh & right ankle,N,06h00,6' to 8' shark
1082,2009.10.18,Unprovoked,PANAMA,Bocas,Wading,F,Arm & torso bitten,N,18h30,
1083,2009.10.17,Provoked,SCOTLAND,Fife,Diving,M,15-20 puncture wounds to arm by captive shark  PROVOKED INCIDENT ,N,14h45,Angel shark
1084,2009.10.14.R,Unprovoked,AUSTRALIA,Western Australia,Diving,M,Severe lacerations to lower right leg,N,,"Bull shark, 10'"
1085,2009.10.09,Unprovoked,USA,California,Surfing,M,Laceration to shin of left leg,N,11h00,
1086,2009.10.02,Provoked,UNITED KINGDOM,Devon,Fishing,M,Injury to forearm from shark's spine PROVOKED INCIDENT ,N,12h50,Spurdog
1087,2009.09.26,Unprovoked,USA,Florida,Swimming,M,Laceration to right foot,N,17h30,"Bull shark, 8'"
1088,2009.09.18,Unprovoked,VIETNAM,,,M,Lower right leg bitten,N,,
1089,2009.09.15,Provoked,SOMALIA,,Fishing,M,Arm bitten PROVOKED INCIDENT ,N,,
1090,2009.09.13,Provoked,BRAZIL,Pernambuco,,M,Cause of death was drowning; his remains were scavenged by sharks,Y,,
1091,2009.09.12,Invalid,USA,North Carolina,Swimming,M,FATAL,Y,21h00,Shark involvement prior to death not confirmed
1092,2009.09.07,Unprovoked,BRAZIL,Pernambuco,"Swimming, attempting to rescue a girl  believed to be drowning",M,FATAL,Y,Afternoon,
1093,2009.09.02,Invalid,NEVIS,,Swimming,M,Death was due to drowning. Two days later his remains were recovered from a 12' tiger shark,U,,Invalid
1094,2009.09.01,Provoked,SOLOMON ISLANDS,Makira-Ulawa Province,Fishing,M,Injuries to face & neck PROVOKED INCIDENT,N,,
1095,2009.08.30,Unprovoked,USA,California,Surfing,M,No injury,N,18h30,4' shark
1096,2009.08.29,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,FATAL,Y,15h30,White shark
1097,2009.08.25,Unprovoked,USA,California,Swimming,F,Puncture wounds to left foot & calf,N,16h30,"White shark, 5' to 6' juvenile "
1098,2009.08.11,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Body boarding,M,"No injury, shark bit bodyboard",N,Lunchtime,"White shark, 2m"
1099,2009.08.10,Unprovoked,USA,Florida,Swimming,M,Puncture marks on left foot,N,19h00,
1100,2009.08.06,Unprovoked,USA,Hawaii,Surfing,M,"No injury, surfboard bitten",N,08h45,"Tiger shark, 12"
1101,2009.08.01,Unprovoked,USA,Louisiana,Wade Fishing,M,Right ankle & foot bitten,N,10h00,Bull shark?
1102,2009.07.31,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,M,Lacerations to calf,N,,Bull shark
1103,2009.07.30,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Left forearm grazed & puncture marks in wetsuit,N,06h15,
1104,2009.07.29,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,F,Foot bitten,N,17h30,
1105,2009.07.24.R,Unprovoked,KENYA,Mombasa,Washing his feet,M,FATAL,Y,,
1106,2009.07.24.b,Unprovoked,USA,Texas,Wading,F,Lacerations to anterior left lower leg,N,Afternoon,
1107,2009.07.24.a,Invalid,SPAIN,Catalunya,Swimming,F,Laceration to left foot,U,10h15,Shark involvement questionable
1108,2009.07.22.b,Unprovoked,USA,North Carolina,Swimming,F,Laceration to left foot,N,15h00,
1109,2009.07.22.a,Unprovoked,USA,Florida,Swimming,F,Laceration to lower right leg,N,15h00,
1110,2009.07.18,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,M,Severe bite to right leg,N,,
1111,2009.07.11.b,Provoked,BAHAMAS,,Spearfishing,M,Leg bitten by shark that had been shot in the head by another diver PROVOKED INCIDENT,N,,"Caribbean reef shark, 6'"
1112,2009.07.11.a,Unprovoked,USA,California,Paddle-surfing,M,"No injury, shark collided with surfer & board",N,08h30,5' shark
1113,2009.07.07,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,Leg bitten,N,11h15,
1114,2009.07.05,Unprovoked,USA,Florida,Boogie Boarding,F,Right ankle bitten,N,16h00,
1115,2009.07.04,Provoked,USA,Florida,Swimming,F,Thigh injured by hooked shark PROVOKED INCIDENT,N,15j45,"Nurse shark, 6'"
1116,2009.06.27,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,2-inch laceration to upper left arm,N,08h45,"Thought to involve a Bronze whale shark, 2m"
1117,2009.06.21,Invalid,USA,California,Surfing,M,Puncture wounds to foot,U,,Shark involvement not confirmed
1118,2009.06.16,Invalid,USA,Florida,Crawling,M,2-inch laceration to upper left arm,U,17h30,"Shark involvement probable, but not confirmed"
1119,2009.06.14.R,Provoked,VIETNAM,,Fishing for sharks,M,Hand bitten by hooked shark PROVOKED INCIDENT,N,,White shark
1120,2009.06.02.b,Unprovoked,EGYPT,St. Johns Reef,Scuba diving,M,Lacerations to left hand,N,,Oceanic whitetip shark
1121,2009.06.02.a,Unprovoked,EGYPT,St. Johns Reef,Scuba diving,M,3 cm laceration to shoulder,N,,Oceanic whitetip shark
1122,2009.06.01,Unprovoked,EGYPT,St. Johns Reef,Snorkeling,F,FATAL,Y,Morning,"Oceanic whitetip shark, 2.5 to 3m"
1123,2009.05.31,Provoked,TAIWAN,Off Green Island,Fishing,M,Lacerations to knee & left lower leg by electrocuted captive shark PROVOKED INCIDENT,N,20h30,80 kg shark
1124,2009.05.25,Provoked,USA,Florida,Swimming,M,Right foot bitten,N,20h30,5' to 8' shark
1125,2009.05.17,Unprovoked,USA,Florida,Surfing,M,Lacerations to left leg & foot,N,09h35,blacktip or spinner shark
1126,2009.05.16.b,Unprovoked,USA,Florida,Surfing,M,Lacerations to right foot,N,10h27,blacktip or spinner shark
1127,2009.05.16.a,Unprovoked,USA,Florida,Surfing,M,Lacerations to right hand,N,10h16,blacktip or spinner shark
