,Case Number,Type,Country,Area,Activity,Sex ,Injury,Fatal (Y/N/U),Time,Species 
93,2017.09.02.c,Unprovoked,USA,Florida,Swimming,M,Lacerations to abdomen,N,,Nurse shark
94,2017.09.02.b,Unprovoked,USA,Texas,Swimming,F,Lacerations to foot,N,,
95,2017.09.02.a,Unprovoked,USA,Florida,Surfing,M,Minor injury to right hand,N,10h44,
96,2017.08.29,Unprovoked,AUSTRALIA,Victoria,Surfing,M,"No injury, board bitten",N,10h30,"White shark, 3 m"
97,2017.08.27,Unprovoked,USA,Florida,Wading,F,Leg injured,N,13h19,
98,2017.08.26.b,Invalid,SPAIN,Castellón,Swimming,F,Lacerations to left foot,U,Midday,Shark involvement questionable
99,2017.08.26.a,Unprovoked,NEW ZEALAND,North Island,Canoeing,M,"No injury, shark bit canoe",N,,
100,2017.08.23,Unprovoked,USA,Massachusetts,SUP,M,Not injured by shark but board bitten,N,10h00,"White shark, 5' to 7'"
101,2017.08.18,Unprovoked,BAHAMAS,,Spearfishing,M,Hand injured,N,15h00,5' shark
102,2017.08.10,Unprovoked,USA,South Carolina,Swimming,M,Minor cuts to sole & toes of left foot,N,13h30,Possibly a juvenile blacktip shark
103,2017.08.05,Unprovoked,EGYPT,Red Sea Protectorate,Snorkeling,F,Bite to right leg/hip,N,,"Oceanic whitetip shark, 1.8 to 2 m"
104,2017.08.03,Provoked,USA,Massachusetts,Fishing,M,Foot bitten by landed shark PROVOKED INCIDENT,N,23h30,4' shark
105,2017.08.01,Boating,USA,California,Kayaking / Fishing,M,"No injury, bow of kayak bitten",N,10h45,"White shark, 10'"
106,2017.07.31,Unprovoked,USA,Florida,Skimboarding,M,Lacerations to lower leg,N,18h30,
107,2017.07.29.c,Invalid,USA,South Carolina,Swimming,M,Abrasions and cuts to sole of foot,U,15h00,A small shark
108,2017.07.29.a,Unprovoked,USA,South Carolina,,F,Bite to left thigh / minor injury,N,Afternoon,
109,2017.07.27,Unprovoked,BAHAMAS,New Providence District,Snorkeling,F,Foot & ankle injured,N,,
110,2017.07.26.R,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,Spearfishing,M,Severe lacerations to left hand,N,,
111,2017.07.24,Unprovoked,"ST HELENA, BRITISH OVERSEAS TERRITORY",Ascension Island,Surfing,M,Torso bitten,N,17h00,
112,2017.07.23.b,Unprovoked,USA,New Jersey,,F,Minor injury to hand,N,,Sandtiger shark  2'
113,2017.07.23.a,Unprovoked,SPAIN,Majorca,Swimming,F,Abrasion to arm from shark's rough skin,N,Afternoon,Blue shark 6'
114,2017.07.22,Unprovoked,USA,Florida,,F,Foot bitten,N,12h30,"""A small shark"""
115,2017.07.20.c,Invalid,USA,South Carolina,Swimming,F,Foot injured,U,,Shark involvement not confirmed
116,2017.07.20.b,Boating,USA,California,Kayaking,M,"No injury, kayak bitten",N,11h20,"White shark, 11' to 13'"
117,2017.07.20.a,Unprovoked,USA,California,SUP,M,"No injury, shark bit paddleboard",N,07h45,"White shark, 8' to 10'"
118,2017.07.14.b,Unprovoked,USA,Washington,Surfing,M,Pulled off board by shark but no injury,N,18h30,"White shark, 9'"
119,2017.07.14.a,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,"Minor injury, grazed by shark",N,11h45,
120,2017.07.11,Boating,USA,California,Kayaking,M,"No injury, kayak bitten",N,11h00,White shark
121,2017.07.09,Unprovoked,USA,Florida,Swimming,M,Lower legs bitten,N,15h30,"Bull shark, 4' to 5'"
122,2017.07.07.R,Provoked,MEXICO,Tabasco,Fishing,M,Hand bitten by hooked shark PROVOKED INCIDENT,N,,"Tiger shark, 100 kg"
123,2017.07.07,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,F,"No injury, shark bit surfboard",N,15h00,"White shark, 2.5 m"
124,2017.07.02,Invalid,COMOROS,Anjouan,Fishing,,"Skull found in shark, a probable drowning & scavenging",U,,Shark involvement prior to death not confirmed
125,2017.06.29,Invalid,USA,South Carolina,Fishing,M,"Arm injured by hook, not by a shark",U,19h30,No shark invovlement 
126,2017.06.21,Unprovoked,USA,South Carolina,Swimming,F,Left foot bitten,N,,
127,2017.06.19,Unprovoked,USA,Florida,Surfing,M,1 to 2-inch laceration behind knee,N,Morning,
128,2017.06.18.b,Unprovoked,USA,South Carolina,Swimming,F,Leg bitten,N,,"Bull shark, 4' to 5'"
129,2017.06.18.a,Unprovoked,REUNION,,Body boarding,M,"No injury, shark bit surfboard ",N,10h00,"Bull shark, 2m"
130,2017.06.17,Unprovoked,SPAIN,Ibiza Island,Swimming,M,2-inch laceration to hand,N,12h00,
131,2017.06.05,Unprovoked,FRENCH POLYNESIA,Marquesas,Surfing,M,Injuries to hand and wrist,N,,
132,2017.06.14.R,Unprovoked,BAHAMAS,,Feeding sharks,F,Fingernail pulled off ,N,,
133,2017.06.11,Unprovoked,AUSTRALIA,Western Australia,Body boarding,M,"No injury, board bitten",N,08h30,"White shark, 4 m"
134,2017.06.10.b,Unprovoked,AUSTRALIA,Victoria,Surfing,F,"No injury, knocked off board",N,15h45,Seven-gill shark
135,2017.06.10.a,Unprovoked,USA,Florida,Surfing,M,Laceration to left foot,N,10h00,
136,2017.06.07.R,Unprovoked,UNITED KINGDOM,South Devon,Surfing ,M,"Bruise to leg, cuts to hand sustained when he hit the shark",N,,"3m shark, probably a smooth hound"
137,2017.06.04,Unprovoked,USA,Florida,Spearfishing,M,Laceration to shin,N,,8' shark
138,2017.06.02,Unprovoked,BAHAMAS,New Providence ,Snorkeling,F,Right forearm severed ,N,Shortly before 12h00,Tiger shark
139,2017.05.30,Provoked,USA,South Carolina,Touching a shark,F,Right hand bitten by hooked shark PROVOKED INCIDENT,N,,3' shark
140,2017.05.28,Unprovoked,USA,Florida,Feeding sharks,M,Lacerations to right arm,N,Morning,Tiger shark
141,2017.05.27,Invalid,AUSTRALIA,New South Wales,Fishing ,M,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,N,,
142,2017.05.12,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Spearfishing,M,Right leg severely bitten,N,Morning,
143,2017.05.06.R,Provoked,AUSTRALIA,Queensland,Attempting to lasso a shark,M,Thigh nipped PROVOKED INCIDENT,N,,9' shark
144,2017.05.06,Unprovoked,MEXICO,Baja California Sur,Snorkeling,M,FATAL,Y,17h00,
145,2017.05.03,Invalid,USA,California,Surfing,F,"Laceration to thigh, likely caused by surfboard fin",U,14h30,Shark involvement highly doubtful
146,2017.04.29.d,Unprovoked,USA,California,Swimming,F,Major injury to posterior thigh,N,17h34,
147,2017.04.29.c,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,Minor injury to right calf,N,17h10,
148,2017.04.29.b,Unprovoked,USA,South Carolina,Surfing,F,Left foot bitten,N,11h00,
149,2017.04.29.a,Unprovoked,REUNION,Saint-Leu,Body boarding,M,FATAL,Y,11h15,
150,2017.04.27,Unprovoked,NEW ZEALAND,South Island,Body boarding,F,Puncture wounds & laceration above knee,N,14h00,
151,2017.04.26,Invalid,USA,Florida,Photo shoot,F,Alleged laceration to left ankle,U,,No shark invovlement - it ws a publicity stunt
152,2017.04.22,Unprovoked,"ST HELENA, BRITISH OVERSEAS TERRITORY",Ascension Island,Snorkeling,F,Calf & foot bitten,N,16h00,
153,2017.04.20,Invalid,USA,South Carolina,Swimming,M,Laceration & puncture wounds to left foot,U,08h50,Shark involvement not confirmed
154,2017.04.17.b,Unprovoked,USA,Florida,,,Minor bite to the foot,N,Afternoon,
155,2017.04.17.a,Unprovoked,AUSTRALIA,Western Australia,Surfing,F,FATAL,Y,16h00,White shark
156,2017.04.14,Unprovoked,USA,Hawaii,Surfing,M,Lower right leg severely injured,N,09h00,"Tiger shark, 12'"
157,2017.04.13,Unprovoked,USA,Florida,Surfing,M,Lacerations to right foot,N,13h30,
158,2017.04.12.b,Unprovoked,USA,Florida,Surfing,F,Lacerations to right foot,N,13h45,
159,2017.04.12.a,Invalid,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,M,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",U,,Shark involvement prior to death not confirmed
160,2017.04.11,Unprovoked,USA,Florida,Surfing,F,Calf bitten,N,16h00,
161,2017.04.10.b,Unprovoked,USA,Florida,Paddle boarding,F,Laceration to calf,N,17h45,
162,2017.04.10.a,Unprovoked,USA,Florida,Swimming,F,Minor injury to left hand,N,17h00,
163,2017.04.06,Unprovoked,USA,Florida,Swimming,M,Foot injured,N,,
164,2017.04.05,Unprovoked,USA,Florida,Swimming,F,"Thigh nipped, minor injury",N,13h00,
165,2017.04.02.b,Unprovoked,AUSTRALIA,Queensland,Kakaying,M,"No injury, shark bit off stern of kayak",N,Afternoon,
166,2017.04.02.a,Unprovoked,USA,Florida,Swimming,F,Lacerations to thighs,N,15h00,"Bull shark, 5' to 7'"
167,2017.03.27,Unprovoked,USA,Florida,Surfing,M,Minor injury to left foot,N,10h00,
168,2017.03.19,Unprovoked,AUSTRALIA,New South Wales,Body boarding,M,Minor,N,18h30,
169,2017.03.18,Boating,USA,California,Kayaking,M,"No injury, kayak bitten",N,14h30,White shark
170,2017.03.11,Unprovoked,PHILIPPINES,Luzon Island,Spearfishing,M,Right thigh injured ,N,,10' shark
171,2017.03.09,Unprovoked,BAHAMAS,Great Exuma,Washing hands,M,Abrasions & lacerations to left leg and hand,N,,Lemon shark
172,2017.02.25,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,F,Hand bitten,N,Morning,"Bull shark, 1.5"
173,2017.02.24,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,"No injury, shark struck board",N,Morning,
174,2017.02.21,Unprovoked,REUNION,Saint-Andre,Body boarding,M,Fatal,Y,09h30,
175,2017.02.17,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,Left leg severely bitten,N,10h20,
176,2017.02.11,Unprovoked,USA,Florida,Swimming,M,Injury to hand,N,13h30,
177,2017.02.06.b,Provoked,BRAZIL,Pernambuco,Grabbing shark for a selfie,F,"Minor injury to finger, PROVOKED INCIDENT",N,Afternoon,Lemon shark pup
178,2017.02.06.a,Boating,SOUTH AFRICA,KwaZulu-Natal,Kayak fishing,M,"Shark damaged kayak, no injury to occupant",N,,Tiger shark
179,2017.02.01.b,Boating,USA,South Carolina,Tagging sharks,,"Shark bit boat, no injury to occupants",N,,"White shark, female, 14'"
180,2017.02.01.a,Unprovoked,BAHAMAS,Bimini,Scuba Diving,M,Lacerations to upper right arm,N,,Caribbean reef shark
181,2017.01.24,Unprovoked,BRAZIL,Pernambuco,Swimming,M,Minor laceration to ring finger,N,13h20,
182,2017.01.22,Unprovoked,USA,Florida,,M,Puncture wounds to lower arm or hand,N,14h00,
183,2017.01.21,Unprovoked,AUSTRALIA,Queensland,Scuba Diving,M,"Multiple injuries to arm, wrist and torso",N,12h00,"Bull shark, 4 m"
184,2017.01.13.b,Unprovoked,AUSTRALIA,Queensland,Swimming,M,Injury to hand,N,13h30,
185,2017.01.13.a,Unprovoked,USA,Florida,,M,Minor injury to hand,N,Morning,
186,2017.01.09,Unprovoked,INDONESIA,Bali,Surfing,M,Injury to right wrist & forearm,N,07h30,"Bull shark, 1 m"
187,2017.01.08.R,Invalid,AUSTRALIA,Queensland,Spearfishing,M,"No attack, shark made a threat display",U,,Bull shark
188,2017.01.05,Unprovoked,USA,Florida,Wading,M,Minor injuries to foot,N,12h30,
189,2017.01.03,Invalid,AUSTRALIA,New South Wales,Wading,M,Minor injuries to foot & toes,U,18h00,Shark involvement not confirmed
190,2016.12.27,Unprovoked,USA,Florida,Surfing,M,Lacerations to right forearm,N,17h00,
191,2016.12.24,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,F,Buttock bitten,N,Morning,a small shark
192,2016.12.19,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf skiing ,M,"No injury, but ski severely damaged",N,07h00,"White shark, 4 m"
193,2016.12.14,Unprovoked,AUSTRALIA,Western Australia,Free diving,M,Punctures to left foot/ankle,N,09h30,
194,2016.12.11.b,Unprovoked,FRENCH POLYNESIA,Tuamotos,Fishing,M,Hand injured?,N,,
195,2016.12.11.a,Invalid,USA,Florida,Surfing,M,Cuts to right ankle & foot,U,Afternoon,Shark involvement not confirmed
196,2016.12.06,Provoked,AUSTRALIA,New South Wales,Surf fishing,M,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,N,02h00,"Wobbegong shark, 2m"
197,2016.12.01,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Injuries to foot & arm,N,09h00,White shark
198,2016.11.28,Provoked,AUSTRALIA,Victoria,Fishing,M,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,N,11h00,"Broadnose sevengill shark, 1.5 m"
199,2016.11.14,Unprovoked,USA,Hawaii,Floating,F,Injuries to right calf and thigh,N,10h30,Tiger shark
200,2016.10.30,Unprovoked,USA,Florida,Surfing,M,Lacerations to right foot and ankle,N,Afternoon,
201,2016.10.29,Unprovoked,USA,Florida,Surfing,M,Lacerations to right hand,N,Afternoon,
202,2016.10.24,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Lacerations to left thigh,N,07h30,
203,2016.10.21,Unprovoked,USA,Hawaii,Surfing,M,Left arm and leg injured,N,17h00, 6' to 8' shark
204,2016.10.15,Unprovoked,AUSTRALIA,Queensland,Surfing,M,Torso nipped,N,18h00,
205,2016.10.14,Unprovoked,USA,Hawaii,Snorkeling,F,Injuries to left calf,N,09h50,
206,2016.10.13.R,Invalid,MEXICO,,Cage Diving,M,"Shark breached cage, no injury to diver",U,,White shark
207,2016.10.12,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Minor wound to lower right leg & surfboard bitten,N,10h30,
208,2016.10.10,Unprovoked,USA,Oregon,Surfing,M,Wounds to upper thigh and lower leg,N,16h00,
209,2016.10.02,Unprovoked,USA,Florida,Surfing,M,Cuts to dorsal surface of left foot,N,11h30,
210,2016.10.01,Unprovoked,USA,Florida,Surfng,M,Minor injuries,N,17h30,
211,2016.09.26,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,4 deep lacerations to thigh,N,9h00,"White shark, 3.5 m"
212,2016.09.18.c,Unprovoked,USA,Florida,Surfing,M,Minor injury to thigh,N,13h00,
213,2016.09.18.b,Unprovoked,USA,Florida,Surfing,M,Lacerations to hands,N,11h00,
214,2016.09.18.a,Unprovoked,USA,Florida,Surfing,M,Lacerations to lower leg,N,10h43,
215,2016.09.17.b,Unprovoked,USA,California,Surfing,M,"No injury, board bitten",N,After noon,
